Código ICAO,Aeródromo,Município,Jan 2020,Jan 2021,Taxa de crescimento (%)
SBFI,Aeroporto de Foz do Iguaçu,Foz do Iguaçu/PR,216638,71990,-66.77
SBNF,Aeroporto de Navegantes,Navegantes/SC,182038,134448,-26.14
SBPS,Aeroporto de Porto Seguro,Porto Seguro/BA,156252,112781,-27.82
SBUL,Aeroporto de Uberlândia,Uberlândia/MG,88484,59645,-32.59
SBRP,Aeroporto de Ribeirão Preto,Ribeirão Preto/SP,82094,38587,-53.00
SBLO,Aeroporto de Londrina,Londrina/PR,73145,33759,-53.85
SBMG,Aeroporto de Maringá,Maringá/PR,71613,34341,-52.05
SBSR,Aeroporto de São José do Rio Preto,São José do Rio Preto/SP,63671,35683,-43.96
SBJV,Aeroporto de Joinville,Joinville/SC,52362,21783,-58.40
SBIL,Aeroporto de Ilhéus,Ilhéus/BA,49742,60722,22.07
SBSN,Aeroporto de Santarém,Santarém/PA,48227,38577,-20.01
SBJU,Aeroporto de Juazeiro do Norte,Juazeiro do Norte/CE,44281,36448,-17.69
SBVC,Aeroporto GLAUBER DE ANDRADE ROCHA,Vitória da Conquista/BA,40402,25327,-37.31
SBCH,Aeroporto de Chapecó,Chapecó/SC,35140,40477,15.19
SBPL,Aeroporto de Petrolina,Petrolina/PE,30636,30004,-2.06
SBFN,Aeroporto de Fernando de Noronha,Fernando de Noronha/PE,29996,20975,-30.07
SBIZ,Aeroporto de Imperatriz,Imperatriz/MA,28829,26644,-7.58
SBCA,Aeroporto de Cascavel,Cascavel/PR,28756,13967,-51.43
SBDN,Aeroporto de Presidente Prudente,Presidente Prudente/SP,27958,13961,-50.06
SBMA,Aeroporto de Marabá,Marabá/PA,26730,23379,-12.54
SBSI,Aeroporto de Sinop,Sinop/MT,23771,15130,-36.35
SBPF,Aeroporto de Passo Fundo,Passo Fundo/RS,22478,2107,-90.63
SBMK,Aeroporto de Montes Claros,Montes Claros/MG,18331,12810,-30.12
SBAU,Aeroporto de Araçatuba,Araçatuba/SP,16959,8998,-46.94
SBCX,Aeroporto de Caxias do Sul,Caxias do Sul/RS,15933,3131,-80.35
SBAE,Aeroporto de Bauru,Bauru/SP,14485,4624,-68.08
SBKG,Aeroporto de Campina Grande,Campina Grande/PB,13496,11692,-13.37
SBJE,Aeroporto de Jijoca de Jericoacoara,Cruz/CE,12839,5555,-56.73
SBCJ,Aeroporto de Parauapebas,Parauapebas/PA,12599,7939,-36.99
SBZM,Aeroporto de Goianá,Goianá/MG,12504,3801,-69.60
