Estado,Jan 2020,Jan 2021,Taxa de crescimento (%)
Sao Paulo,5.748.954,3.427.773,-40.38
Rio de Janeiro,1.740.349,841.345,-51.66
Distrito Federal,1.477.584,937.921,-36.52
Minas Gerais,1.039.230,653.279,-37.14
Parana,951.786,399.781,-58.00
Bahia,941.490,679.356,-27.84
Pernambuco,828.422,697.056,-15.86
Rio Grande do Sul,720.020,365.213,-49.28
Ceara,669.474,399.274,-40.36
Santa Catarina,601.630,404.721,-32.73
Para,406.146,337.914,-16.80
Espirito Santo,297.619,172.312,-42.10
Amazonas,281.455,184.527,-34.44
Mato Grosso,281.390,211.080,-24.99
Goias,267.790,180.568,-32.57
Rio Grande do Norte,241.413,157.804,-34.63
Alagoas,204.930,141.612,-30.90
Maranhao,177.686,132.265,-25.56
Paraiba,155.553,130.571,-16.06
Mato Grosso do Sul,142.846,89.310,-37.48
Sergipe,109.656,80.845,-26.27
Piaui,102.052,83.827,-17.86
Rondonia,86.336,63.787,-26.12
Amapa,55.700,40.726,-26.88
Tocantins,46.137,42.937,-6.94
Acre,40.196,28.924,-28.04
Roraima,31.906,25.352,-20.54
