Código ICAO,Aeródromo,Município,Jan 2020,Jan 2021,Taxa de crescimento (%)
SBGR,Aeroporto Internacional de São Paulo,Guarulhos/SP,2902604,1898023,-34.61
SBSP,Aeroporto de São Paulo/Congonhas,São Paulo/SP,1844738,663138,-64.05
SBBR,Aeroporto Internacional de Brasília,Brasília/DF,1477584,937921,-36.52
SBRJ,Aeroporto do Rio de Janeiro,Rio de Janeiro/RJ,964821,595698,-38.26
SBCF,Aeroporto Internacional de Confins,Confins/MG,899849,571975,-36.44
SBKP,Aeroporto Internacional de Viracopos/Campinas,Campinas/SP,786005,761830,-3.08
SBRF,Aeroporto Internacional de Recife,Recife/PE,767790,645090,-15.98
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro/RJ,763217,240493,-68.49
SBSV,Aeroporto Internacional de Salvador,Salvador/BA,680312,467943,-31.22
SBPA,Aeroporto Internacional de Porto Alegre,Porto Alegre/RS,671652,355454,-47.08
SBFZ,Aeroporto Internacional de Fortaleza,Fortaleza/CE,612053,356025,-41.83
SBCT,Aeroporto Internacional de Curitiba,Curitiba/PR,551860,245724,-55.47
SBFL,Aeroporto Internacional de Florianópolis,Florianópolis/SC,318780,201594,-36.76
SBBE,Aeroporto Internacional de Belém,Belém/PA,309709,258629,-16.49
SBVT,Aeroporto de Vitória,Vitória/ES,297619,171948,-42.23
SBEG,Aeroporto Internacional de Manaus,Manaus/AM,270610,175002,-35.33
SBGO,Aeroporto de Goiânia,Goiânia/GO,258364,176837,-31.56
SBCY,Aeroporto Internacional de Cuiabá,Várzea Grande/MT,244217,184802,-24.33
SBSG,Aeroporto de São Gonçalo do Amarante,São Gonçalo do Amarante/RN,238472,157804,-33.83
SBMO,Aeroporto Internacional de Maceió,Maceió/AL,204930,141612,-30.90
SBSL,Aeroporto Internacional de São Luís,São Luís/MA,148857,105621,-29.05
SBJP,Aeroporto Internacional de João Pessoa,João Pessoa/PB,142057,118879,-16.32
SBCG,Aeroporto Internacional de Campo Grande,Campo Grande/MS,128545,81230,-3681
SBAR,Aeroporto de Aracaju,Aracaju/SE,109656,80845,-26.27
SBTE,Aeroporto de Teresina,Teresina/PI,101511,81756,-19.46
SBPV,Aeroporto Internacional de Porto Velho,Porto Velho/RO,70826,63787,-9.94
SBMQ,Aeroporto Internacional de Macapá,Macapá/AP,55700,40726,-26.88
SBPJ,Aeroporto de Palmas,Palmas/TO,42625,41509,-2.62
SBRB,Aeroporto de Rio Branco,Rio Branco/AC,35426,25599,-27.74
SBBV,Aeroporto Internacional de Boa Vista,Boa Vista/RR,31906,25352,-20.54
