Código ICAO,Aeródromo,Operador,Jan 2020,Jan 2021,Taxa de crescimento (%),REC
SBGR,Aeroporto Internacional de São Paulo,Guarulhos/SP,2.902.604,1.898.023,-34.61,Capital
SBSP,Aeroporto de São Paulo/Congonhas,São Paulo/SP,1.844.738,663.138,-64.05,Capital
SBBR,Aeroporto Internacional de Brasília,Brasília/DF,1.477.584,937.921,-36.52,Capital
SBRJ,Aeroporto do Rio de Janeiro,Rio de Janeiro/RJ,964.821,595.698,-38.26,Capital
SBCF,Aeroporto Internacional de Confins,Confins/MG,899.849,571.975,-36.44,Capital
SBKP,Aeroporto Internacional de Viracopos/Campinas,Campinas/SP,786.005,761.830,-3.08,Capital
SBRF,Aeroporto Internacional de Recife,Recife/PE,767.790,645.090,-15.98,Capital
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro/RJ,763.217,240.493,-68.49,Capital
SBSV,Aeroporto Internacional de Salvador,Salvador/BA,680.312,467.943,-31.22,Capital
SBPA,Aeroporto Internacional de Porto Alegre,Porto Alegre/RS,671.652,355.454,-47.08,Capital
SBFZ,Aeroporto Internacional de Fortaleza,Fortaleza/CE,612.053,356.025,-41.83,Capital
SBCT,Aeroporto Internacional de Curitiba,Curitiba/PR,551.860,245.724,-55.47,Capital
SBFL,Aeroporto Internacional de Florianópolis,Florianópolis/SC,318.780,201.594,-36.76,Capital
SBBE,Aeroporto Internacional de Belém,Belém/PA,309.709,258.629,-16.49,Capital
SBVT,Aeroporto de Vitória,Vitória/ES,297.619,171.948,-42.23,Capital
SBEG,Aeroporto Internacional de Manaus,Manaus/AM,270.610,175.002,-35.33,Capital
SBGO,Aeroporto de Goiânia,Goiânia/GO,258.364,176.837,-31.56,Capital
SBCY,Aeroporto Internacional de Cuiabá,Várzea Grande/MT,244.217,184.802,-24.33,Capital
SBSG,Aeroporto de São Gonçalo do Amarante,São Gonçalo do Amarante/RN,238.472,157.804,-33.83,Capital
SBMO,Aeroporto Internacional de Maceió,Maceió/AL,204.930,141.612,-30.90,Capital
SBSL,Aeroporto Internacional de São Luís,São Luís/MA,148.857,105.621,-29.05,Capital
SBJP,Aeroporto Internacional de João Pessoa,João Pessoa/PB,142.057,118.879,-16.32,Capital
SBCG,Aeroporto Internacional de Campo Grande,Campo Grande/MS,128.545,81.230,-36.81,Capital
SBAR,Aeroporto de Aracaju,Aracaju/SE,109.656,80.845,-26.27,Capital
SBTE,Aeroporto de Teresina,Teresina/PI,101.511,81.756,-19.46,Capital
SBPV,Aeroporto Internacional de Porto Velho,Porto Velho/RO,70.826,63.787,-9.94,Capital
SBMQ,Aeroporto Internacional de Macapá,Macapá/AP,55.700,40.726,-26.88,Capital
SBPJ,Aeroporto de Palmas,Palmas/TO,42.625,41.509,-2.62,Capital
SBRB,Aeroporto de Rio Branco,Rio Branco/AC,35.426,25.599,-27.74,Capital
SBBV,Aeroporto Internacional de Boa Vista,Boa Vista/RR,31.906,25.352,-20.54,Capital
,,Sao Paulo,5748954,3427773,-40.38,Estado
,,Rio de Janeiro,1740349,841345,-51.66,Estado
,,Distrito Federal,1477584,937921,-36.52,Estado
,,Minas Gerais,1039230,653279,-37.14,Estado
,,Parana,951786,399781,-58.00,Estado
,,Bahia,941490,679356,-27.84,Estado
,,Pernambuco,828422,697056,-15.86,Estado
,,Rio Grande do Sul,720020,365213,-49.28,Estado
,,Ceara,669474,399274,-40.36,Estado
,,Santa Catarina,601630,404721,-32.73,Estado
,,Para,406146,337914,-16.80,Estado
,,Espirito Santo,297619,172312,-42.10,Estado
,,Amazonas,281455,184527,-34.44,Estado
,,Mato Grosso,281390,211080,-24.99,Estado
,,Goias,267790,180568,-32.57,Estado
,,Rio Grande do Norte,241413,157804,-34.63,Estado
,,Alagoas,204930,141612,-30.90,Estado
,,Maranhao,177686,132265,-25.56,Estado
,,Paraiba,155553,130571,-16.06,Estado
,,Mato Grosso do Sul,142846,89310,-37.48,Estado
,,Sergipe,109656,80845,-26.27,Estado
,,Piaui,102052,83827,-17.86,Estado
,,Rondonia,86336,63787,-26.12,Estado
,,Amapa,55700,40726,-26.88,Estado
,,Tocantins,46137,42937,-6.94,Estado
,,Acre,40196,28924,-28.04,Estado
,,Roraima,31906,25352,-20.54,Estado
,,Sudoeste,8826152,5094709,-42.28,Regiao
,,Nordeste,3430676,2502610,-27.05,Regiao
,,Sul,2273436,1169715,-48.55,Regiao
,,Centro-Oeste,2169610,1418879,-34.60,Regiao
,,Norte,947876,724167,-23.60,Regiao
